Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Lindsay Allen,MIN,G,29,698,29,698,11.3,.480,.420,.209,.325,2.8,5.9,29.3,1.2,0.4,16.6,14.5,105,111,,0.8,0.2,0.9,.054
Rebecca Allen,CON,F-G,40,858,40,858,11.9,.506,.492,.479,.113,3.9,7.9,6.8,2.2,5.3,11.9,15.1,98,99,,0.2,1.7,1.9,.087
Laeticia Amihere,ATL,F,21,147,21,147,8.8,.466,.405,.024,.976,3.8,7.6,4.4,1.7,5.2,15.5,21.2,86,102,,-0.2,0.2,0.0,.006
Ariel Atkins,WAS,G,27,679,27,679,16.0,.554,.498,.494,.271,3.0,7.2,15.8,2.4,1.2,11.1,21.3,106,103,,1.1,1.0,2.1,.125
Shakira Austin,WAS,C-F,19,440,19,440,15.6,.528,.500,.000,.383,7.5,17.8,7.1,1.8,3.6,16.3,22.4,94,98,,-0.1,1.0,0.9,.078
Rachel Banham,MIN,G,32,435,32,435,9.7,.514,.500,.648,.085,1.1,4.3,21.1,1.3,0.6,17.4,21.5,94,111,,-0.1,0.1,0.0,-0.004
Kierstan Bell,LVA,F,36,424,36,424,6.8,.419,.412,.536,.065,4.1,7.6,5.9,1.7,1.0,8.2,18.2,86,102,,-0.5,0.7,0.1,.013
Grace Berger,IND,G,36,524,36,524,11.3,.547,.512,.268,.197,1.6,6.5,20.0,1.7,1.0,21.1,15.0,102,110,,0.4,0.2,0.6,.044
Morgan Bertsch,CHI,F,28,398,28,398,7.6,.554,.534,.350,.155,3.5,7.0,7.4,1.3,1.4,21.4,15.7,93,108,,-0.1,0.3,0.1,.012
Monique Billings,ATL,F,39,653,39,653,10.8,.482,.407,.024,.365,9.1,16.7,7.3,1.2,1.6,16.0,15.5,97,102,,0.1,1.0,1.1,.070
DeWanna Bonner,CON,F-G,40,1203,40,1203,20.7,.555,.494,.416,.330,3.5,11.1,13.1,1.8,1.9,8.5,25.9,110,100,,3.2,2.2,5.4,.178
Aliyah Boston,IND,F-C,40,1249,40,1249,23.2,.619,.583,.025,.360,11.9,16.3,12.7,2.2,3.6,13.8,19.4,120,104,,4.5,1.5,6.0,.192
Kalani Brown,DAL,C,32,524,32,524,21.3,.688,.629,.007,.601,11.7,15.5,9.9,0.7,3.7,18.8,17.9,124,106,,2.0,0.5,2.5,.192
Lexie Brown,LAS,G,12,364,12,364,15.3,.631,.608,.586,.144,0.6,4.1,14.2,1.5,0.8,11.9,16.8,113,106,,0.7,0.3,1.1,.117
Leigha Brown,CON,G,25,130,25,130,2.6,.367,.327,.385,.231,5.5,9.7,11.2,2.0,1.4,27.7,13.9,72,102,,-0.3,0.2,-0.1,-0.039
Rae Burrell,LAS,G-F,29,322,29,322,10.7,.513,.473,.441,.226,4.7,6.8,9.4,2.1,0.9,12.8,16.7,98,105,,0.1,0.4,0.5,.060
Veronica Burton,DAL,G,40,555,40,555,11.8,.470,.371,.565,.400,4.4,7.2,20.8,2.6,1.6,14.5,8.9,120,106,,1.0,0.5,1.6,.113
Maya Caldwell,IND,G,30,304,30,304,2.3,.371,.319,.403,.194,3.5,5.4,9.2,1.5,0.9,22.0,14.8,74,111,,-0.7,0.1,-0.7,-0.091
Jordin Canada,LAS,G,38,1237,38,1237,16.9,.534,.455,.305,.392,0.8,5.7,32.0,3.5,0.7,17.9,21.3,102,101,,1.3,2.1,3.4,.111
Emma Cannon,IND,F,30,314,30,314,16.6,.571,.504,.254,.328,9.1,18.2,8.1,0.7,0.6,17.7,26.6,102,108,,0.4,0.2,0.6,.077
Bridget Carleton,MIN,F,38,573,38,573,7.7,.490,.471,.748,.126,3.9,9.0,9.0,1.2,0.5,11.3,11.2,102,110,,0.3,0.2,0.5,.036
DiJonai Carrington,CON,G-F,32,550,32,550,14.2,.518,.469,.278,.332,5.9,10.0,12.9,1.9,0.5,12.3,24.1,101,102,,0.5,0.8,1.3,.097
Kaila Charles,SEA,G-F,4,41,4,41,-1.2,.250,.250,.167,.000,8.2,6.9,3.9,1.2,0.0,0.0,13.0,72,111,,-0.1,0.0,-0.1,-0.083
Layshia Clarendon,LAS,G,24,687,24,687,14.7,.610,.552,.238,.306,3.9,6.4,21.0,2.0,0.0,19.8,18.2,108,105,,1.1,0.7,1.9,.108
Alysha Clark,LVA,F,39,876,39,876,10.7,.592,.568,.644,.161,3.0,8.8,6.5,1.4,0.6,11.3,12.7,112,102,,1.3,1.3,2.6,.118
Natasha Cloud,WAS,G,37,1199,37,1199,14.2,.514,.434,.382,.354,0.8,6.8,32.0,1.6,0.8,17.2,21.0,101,104,,1.1,1.5,2.6,.086
Nia Clouden,LAS,G,5,54,5,54,-2.7,.368,.350,.300,.200,0.0,2.2,25.6,0.0,0.0,42.4,16.0,61,111,,-0.3,0.0,-0.2,-0.177
Nia Coffey,ATL,F,31,680,31,680,11.5,.528,.518,.427,.125,2.5,12.4,11.6,1.2,4.6,18.2,15.9,93,100,,-0.2,1.2,1.0,.061
Napheesa Collier,MIN,F,37,1238,37,1238,24.9,.568,.512,.186,.326,6.6,14.7,15.5,2.5,3.1,11.3,28.9,109,102,,3.4,1.9,5.2,.170
Sydney Colson,LVA,G,28,135,28,135,13.1,.590,.556,.593,.222,3.6,5.1,21.7,3.3,0.6,16.8,11.9,122,100,,0.4,0.3,0.6,.181
Zia Cooke,LAS,G,39,549,39,549,4.5,.380,.329,.307,.213,2.1,4.1,9.6,1.2,2.0,10.5,22.9,77,106,,-1.7,0.5,-1.2,-0.091
