MVP Rank,Player,Age,Tm,First,Pts Won,Pts Max,MVP Share,Code Name,Season
1,A'ja Wilson,27,LVA,67.0,670.0,670,1.0,wilsoa01w,2023-24
2,Napheesa Collier,27,MIN,0.0,467.0,670,0.697,collina01w,2023-24
3,Breanna Stewart,29,NYL,0.0,295.0,670,0.44,stewabr01w,2023-24
4,Caitlin Clark,22,IND,0.0,130.0,670,0.194,clarkca02w,2023-24
5,Alyssa Thomas,31,CON,0.0,83.0,670,0.124,thomaal01w,2023-24
6,Sabrina Ionescu,26,NYL,0.0,35.0,670,0.052,ionessa01w,2023-24
7,Nneka Ogwumike,33,SEA,0.0,25.0,670,0.037,ogwumnn01w,2023-24
8,Kahleah Copper,29,PHO,0.0,11.0,670,0.016,coppeka01w,2023-24
9,Arike Ogunbowale,26,DAL,0.0,7.0,670,0.01,ogunbar01w,2023-24
10T,Jonquel Jones,30,NYL,0.0,6.0,670,0.009,jonesjo01w,2023-24
10T,Kelsey Mitchell,28,IND,0.0,6.0,670,0.009,mitchke01w,2023-24
12,Angel Reese,21,CHI,0.0,3.0,670,0.004,reesean01w,2023-24
13,Dearica Hamby,30,LAS,0.0,2.0,670,0.003,hambyde01w,2023-24
14T,DeWanna Bonner,36,CON,0.0,1.0,670,0.001,bonnede01w,2023-24
14T,Kayla McBride,31,MIN,0.0,1.0,670,0.001,mcbrika01w,2023-24
1,Breanna Stewart,28,NYL,20.0,446.0,600,0.743,stewabr01w,2022-23
2,Alyssa Thomas,30,CON,23.0,439.0,600,0.732,thomaal01w,2022-23
3,A'ja Wilson,26,LVA,17.0,433.0,600,0.722,wilsoa01w,2022-23
4,Napheesa Collier,26,MIN,0.0,109.0,600,0.182,collina01w,2022-23
5,Satou Sabally,24,DAL,0.0,35.0,600,0.058,sabalsa01w,2022-23
6,Nneka Ogwumike,32,LAS,0.0,27.0,600,0.045,ogwumnn01w,2022-23
7T,Chelsea Gray,30,LVA,0.0,23.0,600,0.038,graych01w,2022-23
7T,Jewell Loyd,29,SEA,0.0,23.0,600,0.038,loydje01w,2022-23
9,Jackie Young,25,LVA,0.0,13.0,600,0.022,youngja01w,2022-23
10,Arike Ogunbowale,25,DAL,0.0,9.0,600,0.015,ogunbar01w,2022-23
11T,Aliyah Boston,21,IND,0.0,1.0,600,0.002,bostoal01w,2022-23
11T,Sabrina Ionescu,25,NYL,0.0,1.0,600,0.002,ionessa01w,2022-23
11T,Courtney Vandersloot,33,NYL,0.0,1.0,600,0.002,vandeco01w,2022-23
1,A'ja Wilson,25,LVA,31.0,478.0,560,0.854,wilsoa01w,2021-22
2,Breanna Stewart,27,SEA,23.0,446.0,560,0.796,stewabr01w,2021-22
3,Kelsey Plum,27,LVA,0.0,181.0,560,0.323,plumke01w,2021-22
4,Alyssa Thomas,29,CON,0.0,94.0,560,0.168,thomaal01w,2021-22
5,Candace Parker,35,CHI,1.0,78.0,560,0.139,parkeca01w,2021-22
6,Skylar Diggins-Smith,31,PHO,0.0,39.0,560,0.07,diggisk01w,2021-22
7,Jonquel Jones,28,CON,0.0,38.0,560,0.068,jonesjo01w,2021-22
8,Sabrina Ionescu,24,NYL,0.0,24.0,560,0.043,ionessa01w,2021-22
9,Chelsea Gray,29,LVA,1.0,20.0,560,0.036,graych01w,2021-22
10,Nneka Ogwumike,31,LAS,0.0,16.0,560,0.029,ogwumnn01w,2021-22
11T,Elena Delle Donne,32,WAS,0.0,9.0,560,0.016,delleel01w,2021-22
11T,Courtney Vandersloot,32,CHI,0.0,9.0,560,0.016,vandeco01w,2021-22
13,Kahleah Copper,27,CHI,0.0,8.0,560,0.014,coppeka01w,2021-22
14,Sylvia Fowles,36,MIN,0.0,7.0,560,0.012,fowlesy01w,2021-22
15,Emma Meesseman,28,CHI,0.0,5.0,560,0.009,meessem01w,2021-22
16,Natasha Cloud,29,WAS,0.0,3.0,560,0.005,cloudna01w,2021-22
17,Arike Ogunbowale,24,DAL,0.0,1.0,560,0.002,ogunbar01w,2021-22
1,Jonquel Jones,27,CON,48.0,487.0,490,0.994,jonesjo01w,2020-21
2,Brittney Griner,30,PHO,1.0,224.0,490,0.457,grinebr01w,2020-21
3,Breanna Stewart,26,SEA,0.0,156.0,490,0.318,stewabr01w,2020-21
4,Sylvia Fowles,35,MIN,0.0,137.0,490,0.28,fowlesy01w,2020-21
5,Tina Charles,32,WAS,0.0,127.0,490,0.259,charlti01w,2020-21
