Player,Team,Pos,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Farhiya Abdi,LAS,F,17,0,8.4,1.1,2.6,0.432,0.1,0.4,0.143,1.1,2.2,0.486,0.2,0.2,1.0,0.2,0.5,0.3,0.1,0.0,0.4,0.9,2.5
Danielle Adams,SAS,F-C,34,14,20.6,4.0,9.8,0.407,1.1,3.7,0.307,2.8,6.0,0.468,1.9,2.3,0.797,1.2,4.1,0.9,0.6,0.7,1.3,3.0,10.9
Matee Ajavon,ATL,G,24,1,9.2,0.6,2.3,0.278,0.0,0.4,0.111,0.6,1.9,0.311,0.9,1.2,0.724,0.4,0.8,0.7,0.5,0.0,0.9,1.2,2.2
Kayla Alexander,SAS,C,33,0,9.0,1.0,2.3,0.434,0.0,0.0,,1.0,2.3,0.434,0.8,0.9,0.839,0.8,2.0,0.2,0.1,0.3,0.7,1.2,2.8
Jayne Appel-Marinelli,SAS,C,34,34,24.8,2.1,3.8,0.538,0.0,0.0,1.0,2.0,3.8,0.535,0.8,1.3,0.605,1.9,7.9,2.1,0.5,0.9,1.4,2.8,4.9
Seimone Augustus*,MIN,G-F,24,24,31.2,7.1,13.9,0.511,0.5,1.5,0.333,6.6,12.4,0.532,1.8,2.2,0.846,0.5,3.6,2.4,0.4,0.1,1.6,1.0,16.5
Mistie Bass,PHO,F,34,0,14.5,1.7,3.4,0.509,0.0,0.0,,1.7,3.4,0.509,0.9,1.4,0.667,1.2,3.2,0.5,0.5,0.4,0.7,1.5,4.4
Vicki Baugh,TUL,F-C,33,0,8.1,1.0,1.7,0.589,0.0,0.0,,1.0,1.7,0.589,0.5,0.7,0.727,1.1,2.9,0.2,0.3,0.2,0.5,1.7,2.5
Alana Beard,LAS,G-F,33,33,27.7,3.6,7.8,0.463,0.2,0.8,0.286,3.4,6.9,0.485,1.1,1.4,0.745,0.6,2.6,2.5,1.1,0.5,1.8,2.6,8.5
Alex Bentley,CON,G,34,30,25.6,5.1,11.8,0.433,0.9,2.8,0.323,4.2,9.0,0.467,1.1,1.4,0.755,0.2,1.7,3.7,1.3,0.1,2.0,2.7,12.2
Tiffany Bias,PHO,G,17,0,4.0,0.4,1.1,0.389,0.1,0.4,0.333,0.3,0.7,0.417,0.1,0.4,0.333,0.0,0.2,0.4,0.3,0.0,0.7,0.7,1.1
Sue Bird,SEA,G,33,33,29.2,3.9,10.1,0.386,1.2,3.4,0.345,2.7,6.7,0.407,1.6,2.0,0.831,0.2,2.2,4.0,0.8,0.0,2.3,1.0,10.6
Kelsey Bone,CON,C,34,26,23.3,4.0,8.9,0.451,0.0,0.1,0.0,4.0,8.9,0.455,1.3,1.9,0.662,1.7,5.3,1.4,0.6,0.5,2.0,3.0,9.3
